2026/04/20 14:20:42 [error] 529#529: *136685 open() "/var/www/html/.git/config" failed (2: No such file or directory), client: 172.94.9.253, server: localhost-nginx-proxy-manager, request: "GET /.git/config HTTP/1.1", host: "212.33.46.41"
2026/04/20 15:03:34 [error] 528#528: *136694 open() "/var/www/html/hello.world" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:37 [error] 528#528: *136694 open() "/var/www/html/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:37 [error] 528#528: *136694 open() "/var/www/html/vendor/phpunit/phpunit/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /vendor/phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:38 [error] 528#528: *136694 open() "/var/www/html/vendor/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /vendor/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:38 [error] 528#528: *136694 open() "/var/www/html/vendor/phpunit/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /vendor/phpunit/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:39 [error] 528#528: *136694 open() "/var/www/html/vendor/phpunit/phpunit/LICENSE/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /vendor/phpunit/phpunit/LICENSE/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:39 [error] 528#528: *136694 open() "/var/www/html/vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:40 [error] 528#528: *136694 open() "/var/www/html/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:41 [error] 528#528: *136694 open() "/var/www/html/phpunit/phpunit/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:41 [error] 528#528: *136694 open() "/var/www/html/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
